size,epoch,batch_number,loss
4.0,0.0,0.0,-1.3820264339447021
4.0,0.0,2.0,-0.7656539678573608
8.0,0.0,0.0,-1.1356055736541748
8.0,0.0,2.0,-0.6237937211990356
16.0,0.0,0.0,-0.09190040081739426
16.0,0.0,2.0,-0.801345705986023
16.0,0.0,4.0,-1.7625200748443604
16.0,0.0,6.0,-1.3179125785827637
32.0,0.0,0.0,-0.6828429698944092
32.0,0.0,2.0,-1.8690245151519775
32.0,0.0,4.0,-1.518404245376587
32.0,0.0,6.0,-0.8659348487854004
32.0,0.0,8.0,0.15128082036972046
32.0,0.0,10.0,1.2354238033294678
32.0,0.0,12.0,0.6207354068756104
32.0,0.0,14.0,2.7019331455230713
